date,open,high,low,close,volume
2024-10-28,100.0,101.2747088967912,99.22162645405179,100.49250184675455,285481
2024-10-29,100.62955977440285,100.68592926902336,98.81591433315832,98.87129890568633,503416
2024-10-30,98.95980700761473,100.74766805392042,98.27786371446682,100.05815591345436,495434
2024-10-31,99.9861660480957,101.96064633246283,99.59457999265449,101.56288521039285,838501
2024-11-01,101.41028662435875,102.01772309081058,97.91095421343643,98.50096415820654,349162
2024-11-04,98.20895520940432,98.21173294592246,96.5098175913973,96.51254734681166,316677
2024-11-05,96.46009321086953,97.02900308562403,96.15000467436624,96.71808518692934,405665
2024-11-06,96.9521830922716,97.5660507402307,95.63915999846546,96.24857262863522,424729
2024-11-07,96.29042961902223,96.63148251154551,95.89323439128759,96.23408772539298,263517
2024-11-08,96.1802377969286,96.86752960613248,94.28216278807935,94.96074022192042,258720
2024-11-11,95.00490458287713,96.64071987127238,94.6648130440109,96.2960065409976,308204
2024-11-12,96.14569248522741,98.63146713300357,95.023875415399,97.49391910737644,520736
2024-11-13,97.46493188750487,98.93671936935844,96.13663113559647,97.60648940098265,409020
2024-11-14,97.61619904789819,99.83620398526833,97.15431891602088,99.3660442977165,452854
2024-11-15,99.35748881653359,101.6774212650575,97.80361906729543,100.11175540414908,747150
2024-11-18,100.19092439317582,101.18028320835292,97.8019783748242,98.77737880205649,316834
2024-11-19,98.81142195412073,100.32267194829814,97.85809232914737,99.36401096121622,918903
2024-11-20,99.43041851500517,99.47943686839066,97.83769947992002,97.88595642658942,776602
2024-11-21,97.8185744473657,99.51772531322105,97.56545479518792,99.2608735044694,257218
2024-11-22,99.349991446154,99.66619891588041,98.87846400944186,99.19417555412345,382462
2024-11-25,99.35575661167265,99.93754747573422,98.3378729804141,98.91709520418753,265196
2024-11-26,98.82113083178987,99.1384968989866,97.55885566994351,97.87317736534446,345523
2024-11-27,97.78629577098626,100.08519337640735,97.49426954740123,99.78719173380067,428946
2024-11-28,99.92048590148406,100.30742947419706,99.1704691473558,99.55600124780844,217801
2024-11-29,99.53695180563027,100.11644851133198,98.32220893027896,98.89798562254408,112990
2024-12-02,99.03682073039332,101.00946453429682,96.40306982000003,98.36227788603784,494939
2024-12-03,98.3187490653702,99.54325236710461,97.98017687110948,99.20163983447681,730891
2024-12-04,99.34598274167676,101.84128299125685,97.2993513128819,99.7855950871235,372668
2024-12-05,99.79871547759896,100.48199189398296,99.76471063406372,100.44776589672001,874411
2024-12-06,100.47370440511291,101.14756669650507,100.46930592026817,101.14313890550982,432345
2024-12-09,101.30139939772351,105.65821172813195,100.30060727764834,104.62458865369027,910717
2024-12-10,104.58673856630062,105.7604203785747,102.80219620529601,103.96894508338957,312397
2024-12-11,103.87109761188158,104.07011921627605,102.94773065997308,103.14536172239377,585400
